# Nifty 100 constituents (Nifty 50 + Nifty Next 50).
# Snapshot maintained by hand; refresh from NSE via the Daily picks page.
# `industry` is what the halal activity screen reads - keep it specific.
symbol,name,sector,industry,yf_ticker
ADANIENT,Adani Enterprises,Metals & Mining,Trading & Distributors,ADANIENT.NS
ADANIPORTS,Adani Ports and Special Economic Zone,Services,Port & Port services,ADANIPORTS.NS
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,Hospital,APOLLOHOSP.NS
ASIANPAINT,Asian Paints,Consumer Durables,Paints,ASIANPAINT.NS
AXISBANK,Axis Bank,Financial Services,Private Sector Bank,AXISBANK.NS
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components,2/3 Wheelers,BAJAJ-AUTO.NS
BAJFINANCE,Bajaj Finance,Financial Services,Non Banking Financial Company (NBFC),BAJFINANCE.NS
BAJAJFINSV,Bajaj Finserv,Financial Services,Insurance and NBFC holding company,BAJAJFINSV.NS
BEL,Bharat Electronics,Capital Goods,Aerospace & Defence,BEL.NS
BHARTIARTL,Bharti Airtel,Telecommunication,Telecom - Cellular & Fixed line services,BHARTIARTL.NS
CIPLA,Cipla,Healthcare,Pharmaceuticals,CIPLA.NS
COALINDIA,Coal India,Oil Gas & Consumable Fuels,Coal,COALINDIA.NS
DRREDDY,Dr Reddys Laboratories,Healthcare,Pharmaceuticals,DRREDDY.NS
EICHERMOT,Eicher Motors,Automobile and Auto Components,2/3 Wheelers,EICHERMOT.NS
ETERNAL,Eternal (Zomato),Consumer Services,E-Retail/E-Commerce,ETERNAL.NS
GRASIM,Grasim Industries,Construction Materials,Cement & Cement Products,GRASIM.NS
HCLTECH,HCL Technologies,Information Technology,Computers - Software & Consulting,HCLTECH.NS
HDFCBANK,HDFC Bank,Financial Services,Private Sector Bank,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company,Financial Services,Life Insurance,HDFCLIFE.NS
HEROMOTOCO,Hero MotoCorp,Automobile and Auto Components,2/3 Wheelers,HEROMOTOCO.NS
HINDALCO,Hindalco Industries,Metals & Mining,Aluminium,HINDALCO.NS
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods,Diversified FMCG,HINDUNILVR.NS
ICICIBANK,ICICI Bank,Financial Services,Private Sector Bank,ICICIBANK.NS
INDUSINDBK,IndusInd Bank,Financial Services,Private Sector Bank,INDUSINDBK.NS
INFY,Infosys,Information Technology,Computers - Software & Consulting,INFY.NS
ITC,ITC,Fast Moving Consumer Goods,Diversified FMCG and Cigarettes & Tobacco Products,ITC.NS
JIOFIN,Jio Financial Services,Financial Services,Non Banking Financial Company (NBFC),JIOFIN.NS
